acousticness,album_id,analysis_url,danceability,energy,href,track_id,instrumentalness,loudness,mode,name,track_popularity,preview_url,speechiness,tempo,track_href,uri,valence,images,meditation/relaxation music,release_year
0.987,5EDj2uEkip9AtEbTPoX9ny,https://api.spotify.com/v1/audio-analysis/3YO3mDo6aMqgMWf6pIi7mr,0.211,0.0117,https://api.spotify.com/v1/tracks/3YO3mDo6aMqgMWf6pIi7mr,3YO3mDo6aMqgMWf6pIi7mr,0.568,-35.214,0.0,"Piano Trio No. 1 in D Minor, Op. 32: III. Elegie: Adagio",38.0,https://p.scdn.co/mp3-preview/07a719d76f398fb473aefe4e027aa0d055b94b76?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0412,90.447,https://api.spotify.com/v1/tracks/3YO3mDo6aMqgMWf6pIi7mr,spotify:track:3YO3mDo6aMqgMWf6pIi7mr,0.0672,"[{'height': 619, 'url': 'https://i.scdn.co/image/579e0a61b56126e1dce3e92c1d894b3959580733', 'width': 640}, {'height': 290, 'url': 'https://i.scdn.co/image/161708587a13d5c1fe4718502e0026a4aefcfc3a', 'width': 300}, {'height': 62, 'url': 'https://i.scdn.co/image/7ebfe977c21b1b585de1bc286be67bc16b5014c9', 'width': 64}]",True,1991
0.966,70Gzz4LM0a1cnUR8lQ5QsP,https://api.spotify.com/v1/audio-analysis/1cdNMfQzAhyChjFUwXfYxL,0.0691,0.0188,https://api.spotify.com/v1/tracks/1cdNMfQzAhyChjFUwXfYxL,1cdNMfQzAhyChjFUwXfYxL,0.929,-31.77,1.0,"Symphony No. 3 in F Major, Op. 153, ""Im Walde"": II. Abteilung: In der Dammerung. Traumerei: Largo",27.0,https://p.scdn.co/mp3-preview/114690e7e846d42bdb34e655beff1c21767cb310?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0433,75.967,https://api.spotify.com/v1/tracks/1cdNMfQzAhyChjFUwXfYxL,spotify:track:1cdNMfQzAhyChjFUwXfYxL,0.0368,"[{'height': 640, 'url': 'https://i.scdn.co/image/9e51daad416eadd066b4cd4fbdf59a990192ace7', 'width': 637}, {'height': 300, 'url': 'https://i.scdn.co/image/6c140a37e04ab693bc596b18c86e71dd04ff0076', 'width': 299}, {'height': 64, 'url': 'https://i.scdn.co/image/2d780d0c7470fa7845b63131718af582a13ce704', 'width': 64}]",True,2001
0.922,1g9eKpkCSxGGsdAVBodewq,https://api.spotify.com/v1/audio-analysis/2uUBR5GPnWPGnslVkM1Blw,0.107,0.0404,https://api.spotify.com/v1/tracks/2uUBR5GPnWPGnslVkM1Blw,2uUBR5GPnWPGnslVkM1Blw,0.927,-25.179,1.0,"Symphony No. 2 in E Minor, Op. 27: III. Adagio",36.0,https://p.scdn.co/mp3-preview/73a9e00f8c77d7508b230a338e76f5990d1ca297?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0433,83.107,https://api.spotify.com/v1/tracks/2uUBR5GPnWPGnslVkM1Blw,spotify:track:2uUBR5GPnWPGnslVkM1Blw,0.0322,"[{'height': 640, 'url': 'https://i.scdn.co/image/616d68ff9ce260f620d124d45f7d1c86529c7c08', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/1e54814e8e23ab4b8106c309c0b79fe564f4fe57', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/8d7b6bd6b896805270390ee265086bd1d6f8700c', 'width': 64}]",True,1998
0.995,27ZQVAnijk89wbWZ8BQMmy,https://api.spotify.com/v1/audio-analysis/3MUR1Ku2OcQFcel5ECeR1s,0.216,0.0271,https://api.spotify.com/v1/tracks/3MUR1Ku2OcQFcel5ECeR1s,3MUR1Ku2OcQFcel5ECeR1s,0.954,-33.439,0.0,Valsinha,44.0,https://p.scdn.co/mp3-preview/6af0583c3accce9ecdf0658e8c32a30b8125f1f9?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0398,84.953,https://api.spotify.com/v1/tracks/3MUR1Ku2OcQFcel5ECeR1s,spotify:track:3MUR1Ku2OcQFcel5ECeR1s,0.165,"[{'height': 640, 'url': 'https://i.scdn.co/image/2ba2593381d50a369751f44fd4db9a29f3a5baa1', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/2f358ae86310f70ee95e32b13e2ecb83c08c8503', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/343a58ea3c7e138dadd4fe8246f0e0f80b59b6bb', 'width': 64}]",True,2015
0.967,0ZyzZAL4bIawg9iXaIBqmI,https://api.spotify.com/v1/audio-analysis/6ymNgbCndFF5rq09CLDpEk,0.149,0.0759,https://api.spotify.com/v1/tracks/6ymNgbCndFF5rq09CLDpEk,6ymNgbCndFF5rq09CLDpEk,0.632,-22.096,1.0,"Piano Quartet in A Major, Op.30: Très calme",28.0,https://p.scdn.co/mp3-preview/be0e3570e5ced99cb36d8abc0b452bdf1978968a?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0389,97.379,https://api.spotify.com/v1/tracks/6ymNgbCndFF5rq09CLDpEk,spotify:track:6ymNgbCndFF5rq09CLDpEk,0.0359,"[{'height': 573, 'url': 'https://i.scdn.co/image/b1647c225ed178c2ab6b7ef302ed922e6a89279b', 'width': 640}, {'height': 269, 'url': 'https://i.scdn.co/image/91864d46b269e478f9cadd8038eaf4d2d1250e0f', 'width': 300}, {'height': 57, 'url': 'https://i.scdn.co/image/582edd3989fb33472ad9e87740c108ba96641eed', 'width': 64}]",True,2006
0.984,0kkr0V6PLK2tIhrmtnhajx,https://api.spotify.com/v1/audio-analysis/35dkxhZqpa6cWEnmCtBWa9,0.0768,0.0779,https://api.spotify.com/v1/tracks/35dkxhZqpa6cWEnmCtBWa9,35dkxhZqpa6cWEnmCtBWa9,0.877,-25.68,1.0,"Symphony No. 2 in B-Flat Major, Op. 4, B. 12: II. Poco adagio",32.0,https://p.scdn.co/mp3-preview/140078104f86bf06b93d87060488144b62f2509f?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0426,80.145,https://api.spotify.com/v1/tracks/35dkxhZqpa6cWEnmCtBWa9,spotify:track:35dkxhZqpa6cWEnmCtBWa9,0.036,"[{'height': 546, 'url': 'https://i.scdn.co/image/44ec9b7b5e995dc6802be28e8a230b36028645a1', 'width': 640}, {'height': 256, 'url': 'https://i.scdn.co/image/796b1fc0f248ec2d0b191895fa89f4fa82ed0e84', 'width': 300}, {'height': 55, 'url': 'https://i.scdn.co/image/3c83b59f5f1af2d578b5046264a2b12c0965ab62', 'width': 64}]",True,1989
0.982,4TBginu64D8a9hWCTT2VTb,https://api.spotify.com/v1/audio-analysis/6DIdOXKiY0A9086vk0wnOS,0.277,0.0461,https://api.spotify.com/v1/tracks/6DIdOXKiY0A9086vk0wnOS,6DIdOXKiY0A9086vk0wnOS,0.891,-20.464,1.0,Valse de l'archiduchesse (Et vogue le navire),39.0,https://p.scdn.co/mp3-preview/4b730042ffc861bfcd0eb7668cdd4374f93385a3?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0394,79.557,https://api.spotify.com/v1/tracks/6DIdOXKiY0A9086vk0wnOS,spotify:track:6DIdOXKiY0A9086vk0wnOS,0.133,"[{'height': 640, 'url': 'https://i.scdn.co/image/a417fd7b14514edb82136b351b1aa911df41b2c9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/3790210e765e8b89023fd36956573af615291efc', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/4a37470ffacdeca0168c0d9f740ea931f2244d6a', 'width': 64}]",True,2010
0.986,6jMhbBdyTz43xiVCRl4MSi,https://api.spotify.com/v1/audio-analysis/3RZMjQIfUlfTpcuZqdVPtn,0.135,0.065,https://api.spotify.com/v1/tracks/3RZMjQIfUlfTpcuZqdVPtn,3RZMjQIfUlfTpcuZqdVPtn,0.914,-22.832,1.0,"Valse ""La plus que lente""",48.0,https://p.scdn.co/mp3-preview/694769c136e173d358710298eac796aedd1da685?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0507,75.444,https://api.spotify.com/v1/tracks/3RZMjQIfUlfTpcuZqdVPtn,spotify:track:3RZMjQIfUlfTpcuZqdVPtn,0.0574,"[{'height': 640, 'url': 'https://i.scdn.co/image/22d6f0f12afb9c4aba9ddc8b1b3115550d96272d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/da3eac7dfcad2be768a4313cfcaa24f39840e6a9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/4eb0627e6cb5e580a2c340b0c6493663999c64dc', 'width': 64}]",True,2008
0.978,4glkBzvTvGPCfB6EOy9yAJ,https://api.spotify.com/v1/audio-analysis/37y9AcDRzDStviBBk6Devr,0.139,0.0676,https://api.spotify.com/v1/tracks/37y9AcDRzDStviBBk6Devr,37y9AcDRzDStviBBk6Devr,0.717,-25.826,1.0,"Scheherazade, Op. 35: III. The Young Prince and the Young Princess",33.0,https://p.scdn.co/mp3-preview/ffe6af07990fe2079f30ec3ad25cbb7fce3f0044?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0405,87.282,https://api.spotify.com/v1/tracks/37y9AcDRzDStviBBk6Devr,spotify:track:37y9AcDRzDStviBBk6Devr,0.0376,"[{'height': 640, 'url': 'https://i.scdn.co/image/05f0bed8ebcb1674106318e6b013de6dde9312c4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/758ec1589b615125333e67ff78fad26297344f94', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/25bf00cb63d329766b0f04224b47e691b0fde274', 'width': 64}]",True,1989
0.96,572BarjlHuAjlRmaY9VxR2,https://api.spotify.com/v1/audio-analysis/5q7mBmDLRxNsesvkfUvlOX,0.331,0.275,https://api.spotify.com/v1/tracks/5q7mBmDLRxNsesvkfUvlOX,5q7mBmDLRxNsesvkfUvlOX,0.589,-13.588,0.0,Los Vestidos Desgarrados,35.0,https://p.scdn.co/mp3-preview/968e45ea5135ac1c4e8f071154038f1013bef958?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c,0.0408,105.288,https://api.spotify.com/v1/tracks/5q7mBmDLRxNsesvkfUvlOX,spotify:track:5q7mBmDLRxNsesvkfUvlOX,0.616,"[{'height': 640, 'url': 'https://i.scdn.co/image/a10472a3b19764b87e2a416a60470d0107894f46', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/e23ee7e3b96ec6f78f73096469c32385b45ecc99', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/694e68e3e4824e3d4e3dd308c9e9037ef96df4c6', 'width': 64}]",True,2012
